page_id,Name,link,ID,Align,Eye,Hair,Sex,GSM,Alive,Appearance,First Appearance_old,YEAR,Citizenship,date,month,year,First Appearance
1582,Victor Stone (New Earth),https://dc.fandom.com/wiki/Victor_Stone_(New_Earth),Public Identity,Good ,Brown ,Black ,Male ,,Living ,584,"1980, October",1980.0,American,1980-10-01,10,1980,10/1980
14006,Kon-El (New Earth),https://dc.fandom.com/wiki/Kon-El_(New_Earth),Secret Identity,Good ,Blue ,Black ,Male ,,Living ,560,"1993, June",1993.0,American,1993-06-01,06,1993,06/1993
1484,Ralph Dibny (New Earth),https://dc.fandom.com/wiki/Ralph_Dibny_(New_Earth),Public Identity,,Blue ,Red ,Male ,,Deceased ,558,"1960, May",1960.0,American,1960-05-01,05,1960,05/1960
23391,James Olsen (New Earth),https://dc.fandom.com/wiki/James_Olsen_(New_Earth),Public Identity,Good ,Green ,Red ,Male ,,Living ,557,"1986, October",1986.0,American,1986-10-01,10,1986,10/1986
1478,John Stewart (New Earth),https://dc.fandom.com/wiki/John_Stewart_(New_Earth),Public Identity,Good ,Brown ,Black ,Male ,,Living ,549,"1971, December",1971.0,American,1971-12-01,12,1971,12/1971
1455,Joker (New Earth),https://dc.fandom.com/wiki/Joker_(New_Earth),Secret Identity,Bad ,Green ,Green ,Male ,,Living ,517,"1940, June",1940.0,American,1940-06-01,06,1940,06/1940
10163,Franklin Rock (New Earth),https://dc.fandom.com/wiki/Franklin_Rock_(New_Earth),Public Identity,Good ,Blue ,,Male ,,Living ,492,"1959, April",1959.0,American,1959-04-01,04,1959,04/1959
1872,Garth (New Earth),https://dc.fandom.com/wiki/Garth_(New_Earth),Public Identity,Good ,Purple ,Black ,Male ,,Deceased ,487,"1960, February",1960.0,Atlantean · Idylist,1960-02-01,02,1960,02/1960
1616,Rex Mason (New Earth),https://dc.fandom.com/wiki/Rex_Mason_(New_Earth),Secret Identity,,Black ,,Male ,,Living ,470,"1965, January",1965.0,American,1965-01-01,01,1965,01/1965
1577,Zatanna Zatara (New Earth),https://dc.fandom.com/wiki/Zatanna_Zatara_(New_Earth),Public Identity,Good ,Blue ,Black ,Female ,,Living ,439,"1964, November",1964.0,American,1964-11-01,11,1964,11/1964
6791,Aztar (New Earth),https://dc.fandom.com/wiki/Aztar_(New_Earth),Secret Identity,,White ,,Male ,,Living ,436,"1940, February",1940.0,,1940-02-01,02,1940,02/1940
1481,Theodore Kord (New Earth),https://dc.fandom.com/wiki/Theodore_Kord_(New_Earth),Secret Identity,,Blue ,Brown ,Male ,,Deceased ,429,"1986, February",1986.0,American,1986-02-01,02,1986,02/1986
1559,Michael Jon Carter (New Earth),https://dc.fandom.com/wiki/Michael_Jon_Carter_(New_Earth),Public Identity,Good ,Blue ,Blond ,Male ,,Living ,427,"1986, February",1986.0,American,1986-02-01,02,1986,02/1986
1607,Cassandra Sandsmark (New Earth),https://dc.fandom.com/wiki/Cassandra_Sandsmark_(New_Earth),Public Identity,Good ,Blue ,Blond ,Female ,,Living ,423,"1996, January",1996.0,American,1996-01-01,01,1996,01/1996
1680,Kent Nelson (New Earth),https://dc.fandom.com/wiki/Kent_Nelson_(New_Earth),Secret Identity,Good ,Blue ,Blond ,Male ,,Deceased ,422,"1940, May",1940.0,American,1940-05-01,05,1940,05/1940
1662,Harvey Bullock (New Earth),https://dc.fandom.com/wiki/Harvey_Bullock_(New_Earth),Public Identity,Good ,Brown ,Black ,Male ,,Living ,413,"1974, July",1974.0,American,1974-07-01,07,1974,07/1974
1864,Rachel Roth (New Earth),https://dc.fandom.com/wiki/Rachel_Roth_(New_Earth),Secret Identity,Good ,Purple ,Black ,Female ,,Living ,399,"1980, October",1980.0,,1980-10-01,10,1980,10/1980
37696,Helena Bertinelli (New Earth),https://dc.fandom.com/wiki/Helena_Bertinelli_(New_Earth),Secret Identity,Good ,Blue ,Black ,Female ,,Living ,393,"1989, April",1989.0,American,1989-04-01,04,1989,04/1989
1981,Wesley Dodds (New Earth),https://dc.fandom.com/wiki/Wesley_Dodds_(New_Earth),Secret Identity,Good ,Brown ,Brown ,Male ,,Deceased ,391,"1939, April",1939.0,American,1939-04-01,04,1939,04/1939
1514,Uxas (New Earth),https://dc.fandom.com/wiki/Uxas_(New_Earth),Public Identity,Bad ,Red ,,Male ,,Deceased ,388,"1970, December",1970.0,Apokoliptian,1970-12-01,12,1970,12/1970
1560,Nathaniel Adam (New Earth),https://dc.fandom.com/wiki/Nathaniel_Adam_(New_Earth),Secret Identity,Good ,Blue ,White ,Male ,,Living ,386,"1987, March",1987.0,American,1987-03-01,03,1987,03/1987
23652,Ronald Raymond (New Earth),https://dc.fandom.com/wiki/Ronald_Raymond_(New_Earth),Secret Identity,Good ,Blue ,,Male ,,Living ,386,"1978, March",1978.0,American,1978-03-01,03,1978,03/1978
2433,Red Tornado (New Earth),https://dc.fandom.com/wiki/Red_Tornado_(New_Earth),Secret Identity,Good ,Green ,,Male ,,Living ,374,"1968, August",1968.0,American,1968-08-01,08,1968,08/1968
1704,John Constantine (New Earth),https://dc.fandom.com/wiki/John_Constantine_(New_Earth),Public Identity,Good ,Blue ,Blond ,Male ,Bisexual ,Living ,371,"1984, June",1984.0,British,1984-06-01,06,1984,06/1984
1995,Albert Pratt (New Earth),https://dc.fandom.com/wiki/Albert_Pratt_(New_Earth),Secret Identity,Good ,Blue ,Red ,Male ,,Deceased ,370,"1940, October",1940.0,American,1940-10-01,10,1940,10/1940
1684,Charles McNider (New Earth),https://dc.fandom.com/wiki/Charles_McNider_(New_Earth),Secret Identity,,Blue ,Blond ,Male ,,Deceased ,361,"1941, April",1941.0,American,1941-04-01,04,1941,04/1941
1687,Theodore Knight (New Earth),https://dc.fandom.com/wiki/Theodore_Knight_(New_Earth),Secret Identity,Good ,Brown ,Brown ,Male ,,Deceased ,356,"1941, April",1941.0,American,1941-04-01,04,1941,04/1941
1564,Lobo (New Earth),https://dc.fandom.com/wiki/Lobo_(New_Earth),Public Identity,Neutral ,Red ,Black ,Male ,,Living ,353,"1983, June",1983.0,,1983-06-01,06,1983,06/1983
1488,Perry White (New Earth),https://dc.fandom.com/wiki/Perry_White_(New_Earth),Public Identity,,Blue ,Brown ,Male ,,Living ,350,"1986, October",1986.0,American,1986-10-01,10,1986,10/1986
1554,John Henry Irons (New Earth),https://dc.fandom.com/wiki/John_Henry_Irons_(New_Earth),Public Identity,Good ,Brown ,,Male ,,Living ,345,"1993, June",1993.0,American,1993-06-01,06,1993,06/1993
1619,Jefferson Pierce (New Earth),https://dc.fandom.com/wiki/Jefferson_Pierce_(New_Earth),Secret Identity,Good ,Brown ,,Male ,,Living ,344,"1977, April",1977.0,American,1977-04-01,04,1977,04/1977
1549,Slade Wilson (New Earth),https://dc.fandom.com/wiki/Slade_Wilson_(New_Earth),Secret Identity,Neutral ,Blue ,White ,Male ,,Living ,336,"1980, December",1980.0,American,1980-12-01,12,1980,12/1980
1599,Phantom Stranger (New Earth),https://dc.fandom.com/wiki/Phantom_Stranger_(New_Earth),Secret Identity,,Black ,Black ,Male ,,Living ,335,"1952, September",1952.0,,1952-09-01,09,1952,09/1952
1723,Beatriz da Costa (New Earth),https://dc.fandom.com/wiki/Beatriz_da_Costa_(New_Earth),Secret Identity,Good ,Green ,Green ,Female ,,Living ,325,"1982, June",1982.0,Brazilian,1982-06-01,06,1982,06/1982
1528,William Batson (New Earth),https://dc.fandom.com/wiki/William_Batson_(New_Earth),Secret Identity,Good ,Blue ,Black ,Male ,,Living ,321,"1940, February",1940.0,American,1940-02-01,02,1940,02/1940
1625,Carol Ferris (New Earth),https://dc.fandom.com/wiki/Carol_Ferris_(New_Earth),Public Identity,Neutral ,Blue ,Black ,Female ,,Living ,319,"1959, October",1959.0,American,1959-10-01,10,1959,10/1959
4030,Clifford Steele (New Earth),https://dc.fandom.com/wiki/Clifford_Steele_(New_Earth),Public Identity,,Photocellular ,,Male ,,Living ,314,"1963, June",1963.0,American,1963-06-01,06,1963,06/1963
3458,Etrigan (New Earth),https://dc.fandom.com/wiki/Etrigan_(New_Earth),Public Identity,Neutral ,Red ,,Male ,,Living ,311,"1972, September",1972.0,Hellion,1972-09-01,09,1972,09/1972
39947,Jennifer-Lynn Hayden (New Earth),https://dc.fandom.com/wiki/Jennifer-Lynn_Hayden_(New_Earth),Secret Identity,Good ,Green ,Green ,Female ,,Living ,309,"1983, September",1983.0,American,1983-09-01,09,1983,09/1983
261362,Swamp Thing (New Earth),https://dc.fandom.com/wiki/Swamp_Thing_(New_Earth),Public Identity,Good ,Red ,,Male ,,Living ,309,"1972, November",1972.0,American,1972-11-01,11,1972,11/1972
8856,Renee Montoya (New Earth),https://dc.fandom.com/wiki/Renee_Montoya_(New_Earth),Secret Identity,Good ,Brown ,Black ,Female ,Homosexual ,Living ,308,"1992, March",1992.0,American,1992-03-01,03,1992,03/1992
1471,Harvey Dent (New Earth),https://dc.fandom.com/wiki/Harvey_Dent_(New_Earth),Public Identity,Bad ,Blue ,Brown ,Male ,,Living ,306,"1942, August",1942.0,American,1942-08-01,08,1942,08/1942
1696,Courtney Whitmore (New Earth),https://dc.fandom.com/wiki/Courtney_Whitmore_(New_Earth),Secret Identity,Good ,Blue ,Blond ,Female ,,Living ,305,"1999, July",1999.0,American,1999-07-01,07,1999,07/1999
1894,Kendra Saunders (New Earth),https://dc.fandom.com/wiki/Kendra_Saunders_(New_Earth),Secret Identity,Good ,Hazel ,Brown ,Female ,,Deceased ,301,"1999, August",1999.0,American,1999-08-01,08,1999,08/1999
1700,Michael Holt (New Earth),https://dc.fandom.com/wiki/Michael_Holt_(New_Earth),Secret Identity,,Brown ,Black ,Male ,,Living ,300,"1997, June",1997.0,American,1997-06-01,06,1997,06/1997
1825,Kilowog (New Earth),https://dc.fandom.com/wiki/Kilowog_(New_Earth),Public Identity,Good ,Red ,,Male ,,Living ,299,"1986, June",1986.0,,1986-06-01,06,1986,06/1986
1870,Kara Zor-El (New Earth),https://dc.fandom.com/wiki/Kara_Zor-El_(New_Earth),Secret Identity,Good ,Blue ,Blond ,Female ,,Living ,297,"2004, May",2004.0,,2004-05-01,05,2004,05/2004
7155,Jonah Hex (New Earth),https://dc.fandom.com/wiki/Jonah_Hex_(New_Earth),Public Identity,Good ,Blue ,Blond ,Male ,,Deceased ,291,"1972, March",1972.0,American,1972-03-01,03,1972,03/1972
1681,Rex Tyler (New Earth),https://dc.fandom.com/wiki/Rex_Tyler_(New_Earth),Secret Identity,Good ,Blue ,Brown ,Male ,,Living ,288,"1940, March",1940.0,American,1940-03-01,03,1940,03/1940
1464,Pamela Isley (New Earth),https://dc.fandom.com/wiki/Pamela_Isley_(New_Earth),Secret Identity,Neutral ,Green ,Red ,Female ,,Living ,286,"1966, June",1966.0,American,1966-06-01,06,1966,06/1966
1685,Pieter Cross (New Earth),https://dc.fandom.com/wiki/Pieter_Cross_(New_Earth),Secret Identity,Good ,Blue ,Black ,Male ,,Living ,284,"1999, February",1999.0,Norwegian,1999-02-01,02,1999,02/1999
1885,Jonathan L. Thunder (New Earth),https://dc.fandom.com/wiki/Jonathan_L._Thunder_(New_Earth),Secret Identity,Good ,Blue ,Blond ,Male ,,Living ,282,"1940, January",1940.0,,1940-01-01,01,1940,01/1940
2657,Mari McCabe (New Earth),https://dc.fandom.com/wiki/Mari_McCabe_(New_Earth),Secret Identity,Good ,Amber ,Brown ,Female ,,Living ,268,"1981, July",1981.0,Zambesian · American,1981-07-01,07,1981,07/1981
1568,Scott Free (New Earth),https://dc.fandom.com/wiki/Scott_Free_(New_Earth),Secret Identity,Good ,Blue ,Black ,Male ,,Living ,268,"1971, April",1971.0,Genesisian,1971-04-01,04,1971,04/1971
173437,Martha Clark (New Earth),https://dc.fandom.com/wiki/Martha_Clark_(New_Earth),Public Identity,Good ,Blue ,White ,Female ,,Living ,266,"1986, October",1986.0,American,1986-10-01,10,1986,10/1986
1839,Boston Brand (New Earth),https://dc.fandom.com/wiki/Boston_Brand_(New_Earth),Secret Identity,Good ,Blue ,,Male ,,Deceased ,262,"1967, October",1967.0,American,1967-10-01,10,1967,10/1967
21110,Daniel Turpin (New Earth),https://dc.fandom.com/wiki/Daniel_Turpin_(New_Earth),Public Identity,,Brown ,Brown ,Male ,,Deceased ,261,"1942, June",1942.0,American,1942-06-01,06,1942,06/1942
13108,John Zatara (New Earth),https://dc.fandom.com/wiki/John_Zatara_(New_Earth),Secret Identity,Good ,Blue ,Black ,Male ,,Deceased ,256,"1938, June",1938.0,,1938-06-01,06,1938,06/1938
24301,Jonathan Kent (New Earth),https://dc.fandom.com/wiki/Jonathan_Kent_(New_Earth),Public Identity,Good ,Blue ,White ,Male ,,Deceased ,254,"1986, October",1986.0,American,1986-10-01,10,1986,10/1986
1462,Oswald Cobblepot (New Earth),https://dc.fandom.com/wiki/Oswald_Cobblepot_(New_Earth),Public Identity,,Blue ,Black ,Male ,,Living ,253,"1941, December",1941.0,American,1941-12-01,12,1941,12/1941
1788,Tatsu Yamashiro (New Earth),https://dc.fandom.com/wiki/Tatsu_Yamashiro_(New_Earth),Secret Identity,Good ,Brown ,Black ,Female ,,Living ,252,"1983, July",1983.0,Japanese,1983-07-01,07,1983,07/1983
4079,Lawrence Trainor (New Earth),https://dc.fandom.com/wiki/Lawrence_Trainor_(New_Earth),Secret Identity,Good ,Blue ,Blond ,Male ,,Living ,250,"1963, June",1963.0,American,1963-06-01,06,1963,06/1963
11039,Albert Rothstein (New Earth),https://dc.fandom.com/wiki/Albert_Rothstein_(New_Earth),Secret Identity,Good ,Blue ,,Male ,,Living ,245,"1983, September",1983.0,American,1983-09-01,09,1983,09/1983
1848,Brion Markov (New Earth),https://dc.fandom.com/wiki/Brion_Markov_(New_Earth),Secret Identity,Good ,Green ,Strawberry Blond ,Male ,,Living ,245,"1983, July",1983.0,Markovian,1983-07-01,07,1983,07/1983
1866,Sanderson Hawkins (New Earth),https://dc.fandom.com/wiki/Sanderson_Hawkins_(New_Earth),Secret Identity,Good ,Blue ,Blond ,Male ,,Living ,241,"1941, December",1941.0,American,1941-12-01,12,1941,12/1941
1900,Jonathan Chambers (New Earth),https://dc.fandom.com/wiki/Jonathan_Chambers_(New_Earth),Secret Identity,Good ,Blue ,Blond ,Male ,,Deceased ,239,"1941, September",1941.0,American,1941-09-01,09,1941,09/1941
1547,Orion (New Earth),https://dc.fandom.com/wiki/Orion_(New_Earth),Public Identity,Good ,Blue ,Strawberry Blond ,Male ,,Deceased ,237,"1971, March",1971.0,Genesisian,1971-03-01,03,1971,03/1971
1585,Thaal Sinestro (New Earth),https://dc.fandom.com/wiki/Thaal_Sinestro_(New_Earth),Public Identity,Neutral ,Yellow ,Black ,Male ,,Living ,237,"1961, August",1961.0,,1961-08-01,08,1961,08/1961
1494,Cassandra Cain (New Earth),https://dc.fandom.com/wiki/Cassandra_Cain_(New_Earth),Secret Identity,Good ,Brown ,Black ,Female ,,Living ,235,"1999, July",1999.0,,1999-07-01,07,1999,07/1999
1445,Jason Todd (New Earth),https://dc.fandom.com/wiki/Jason_Todd_(New_Earth),Secret Identity,Neutral ,Blue ,Black ,Male ,,Living ,235,"1987, June",1987.0,American,1987-06-01,06,1987,06/1987
1483,Susan Dearbon (New Earth),https://dc.fandom.com/wiki/Susan_Dearbon_(New_Earth),Public Identity,Good ,,Black ,Female ,,Deceased ,235,"1961, March",1961.0,American,1961-03-01,03,1961,03/1961
1468,Jean-Paul Valley (New Earth),https://dc.fandom.com/wiki/Jean-Paul_Valley_(New_Earth),Secret Identity,Good ,Blue ,Blond ,Male ,,Deceased ,234,"1992, October",1992.0,American,1992-10-01,10,1992,10/1992
14823,Hippolyta (New Earth),https://dc.fandom.com/wiki/Hippolyta_(New_Earth),Public Identity,Good ,Blue ,Black ,Female ,,Living ,231,"1987, February",1987.0,Amazon,1987-02-01,02,1987,02/1987
1785,Joseph Wilson (New Earth),https://dc.fandom.com/wiki/Joseph_Wilson_(New_Earth),Secret Identity,Neutral ,Green ,Blond ,Male ,,Living ,229,"1984, May",1984.0,American,1984-05-01,05,1984,05/1984
1574,Bernhard Baker (New Earth),https://dc.fandom.com/wiki/Bernhard_Baker_(New_Earth),Secret Identity,Good ,Blue ,Blond ,Male ,,Living ,229,"1965, September",1965.0,American,1965-09-01,09,1965,09/1965
12766,Sylvester Pemberton (New Earth),https://dc.fandom.com/wiki/Sylvester_Pemberton_(New_Earth),Secret Identity,Good ,Blue ,Black ,Male ,,Deceased ,229,"1941, October",1941.0,American,1941-10-01,10,1941,10/1941
14002,Jesse Chambers (New Earth),https://dc.fandom.com/wiki/Jesse_Chambers_(New_Earth),Public Identity,Good ,Blue ,Blond ,Female ,,Living ,228,"1992, August",1992.0,American,1992-08-01,08,1992,08/1992
1645,Floyd Lawton (New Earth),https://dc.fandom.com/wiki/Floyd_Lawton_(New_Earth),Secret Identity,Neutral ,Blue ,Brown ,Male ,,Living ,227,"1950, June",1950.0,American,1950-06-01,06,1950,06/1950
12672,Mera (New Earth),https://dc.fandom.com/wiki/Mera_(New_Earth),Public Identity,,Blue ,Red ,Female ,,Living ,226,"1963, October",1963.0,Xebelian · Atlantean,1963-10-01,10,1963,10/1963
1897,Tora Olafsdotter (New Earth),https://dc.fandom.com/wiki/Tora_Olafsdotter_(New_Earth),Public Identity,Good ,Blue ,White ,Female ,,Living ,225,"1988, April",1988.0,Norwegian,1988-04-01,04,1988,04/1988
1522,George Harkness (New Earth),https://dc.fandom.com/wiki/George_Harkness_(New_Earth),Secret Identity,,Brown ,Brown ,Male ,,Living ,224,"1960, December",1960.0,Australian,1960-12-01,12,1960,12/1960
1606,Amanda Waller (New Earth),https://dc.fandom.com/wiki/Amanda_Waller_(New_Earth),Public Identity,Good ,Brown ,Black ,Female ,,Living ,222,"1986, November",1986.0,American,1986-11-01,11,1986,11/1986
1675,Jonathan Crane (New Earth),https://dc.fandom.com/wiki/Jonathan_Crane_(New_Earth),Public Identity,Bad ,Blue ,Brown ,Male ,,Living ,222,"1941, September",1941.0,American,1941-09-01,09,1941,09/1941
1519,Leonard Snart (New Earth),https://dc.fandom.com/wiki/Leonard_Snart_(New_Earth),Secret Identity,,Brown ,Brown ,Male ,,Living ,219,"1957, June",1957.0,American,1957-06-01,06,1957,06/1957
174276,Shiera Sanders (New Earth),https://dc.fandom.com/wiki/Shiera_Sanders_(New_Earth),Secret Identity,Good ,Brown ,Red ,Female ,,Living ,219,"1940, January",1940.0,American,1940-01-01,01,1940,01/1940
1953,Maxwell Lord IV (New Earth),https://dc.fandom.com/wiki/Maxwell_Lord_IV_(New_Earth),Public Identity,Neutral ,Black ,Brown ,Male ,,Living ,218,"1987, May",1987.0,American,1987-05-01,05,1987,05/1987
8056,Jeb Stuart (New Earth),https://dc.fandom.com/wiki/Jeb_Stuart_(New_Earth),Public Identity,Good ,Blue ,Brown ,Male ,,Living ,218,"1961, May",1961.0,American,1961-05-01,05,1961,05/1961
38764,Damian Wayne (Prime Earth),https://dc.fandom.com/wiki/Damian_Wayne_(Prime_Earth),Secret Identity,Good ,Blue ,Black ,Male ,,Deceased ,216,"1987, September",1987.0,American,1987-09-01,09,1987,09/1987
1557,Big Barda (New Earth),https://dc.fandom.com/wiki/Big_Barda_(New_Earth),Secret Identity,Good ,Blue ,Black ,Female ,,Deceased ,216,"1971, October",1971.0,Apokoliptian,1971-10-01,10,1971,10/1971
2698,Niles Caulder (New Earth),https://dc.fandom.com/wiki/Niles_Caulder_(New_Earth),Public Identity,Good ,Blue ,Grey ,Male ,,Living ,214,"1963, June",1963.0,American,1963-06-01,06,1963,06/1963
1868,James Corrigan (New Earth),https://dc.fandom.com/wiki/James_Corrigan_(New_Earth),Secret Identity,Good ,Blue ,Red ,Male ,,Deceased ,214,"1940, February",1940.0,American,1940-02-01,02,1940,02/1940
65039,Samuel Bradley (New Earth),https://dc.fandom.com/wiki/Samuel_Bradley_(New_Earth),Public Identity,Good ,Grey ,Grey ,Male ,,Living ,213,"1937, March",1937.0,American,1937-03-01,03,1937,03/1937
1682,Richard Tyler (New Earth),https://dc.fandom.com/wiki/Richard_Tyler_(New_Earth),Public Identity,Good ,Brown ,Brown ,Male ,,Living ,212,"1985, November",1985.0,American,1985-11-01,11,1985,11/1985
8049,James Ewell Brown Stuart (New Earth),https://dc.fandom.com/wiki/James_Ewell_Brown_Stuart_(New_Earth),Public Identity,Good ,,Brown ,Male ,,Deceased ,212,"1961, May",1961.0,Confederate States of America,1961-05-01,05,1961,05/1961
1862,Todd Rice (New Earth),https://dc.fandom.com/wiki/Todd_Rice_(New_Earth),Public Identity,Good ,Brown ,Brown ,Male ,Homosexual ,Living ,208,"1983, September",1983.0,American,1983-09-01,09,1983,09/1983
13358,Yz (New Earth),https://dc.fandom.com/wiki/Yz_(New_Earth),Secret Identity,Good ,Red ,,Male ,,Living ,207,"1940, January",1940.0,,1940-01-01,01,1940,01/1940
5384,Matrix (Pocket Universe),https://dc.fandom.com/wiki/Matrix_(Pocket_Universe),Public Identity,Good ,Blue ,Blond ,Female ,,Living ,206,"1988, April",1988.0,American,1988-04-01,04,1988,04/1988
64094,Wolfgang Winks (New Earth),https://dc.fandom.com/wiki/Wolfgang_Winks_(New_Earth),Public Identity,Good ,,Black ,Male ,,Living ,206,"1942, November",1942.0,American,1942-11-01,11,1942,11/1942
7288,William Glenmorgan (New Earth),https://dc.fandom.com/wiki/William_Glenmorgan_(New_Earth),Public Identity,Good ,Blue ,Black ,Male ,,Deceased ,199,"1940, June",1940.0,British,1940-06-01,06,1940,06/1940
1453,Stephanie Brown (New Earth),https://dc.fandom.com/wiki/Stephanie_Brown_(New_Earth),Secret Identity,Good ,Blue ,Blond ,Female ,,Living ,198,"1992, August",1992.0,American,1992-08-01,08,1992,08/1992
1865,Raymond Terrill (New Earth),https://dc.fandom.com/wiki/Raymond_Terrill_(New_Earth),Secret Identity,Good ,Green ,Red ,Male ,,Living ,192,"1992, February",1992.0,American,1992-02-01,02,1992,02/1992
47056,Adam Blake (New Earth),https://dc.fandom.com/wiki/Adam_Blake_(New_Earth),Public Identity,Good ,Hazel ,Brown ,Male ,,Living ,191,"1951, June",1951.0,American,1951-06-01,06,1951,06/1951
